nume_actiune, timestamp
"calculat nivel de experienta mecanic",2025-06-04 20:46:42
"calculat nivel de experienta mecanic",2025-06-04 20:46:42
"calculat nivel de experienta mecanic",2025-06-04 20:46:42
"calculat nivel de experienta mecanic",2025-06-04 20:46:42
"locomotiva adaugata la orar",2025-06-04 20:46:42
"locomotiva adaugata la orar",2025-06-04 20:46:42
"locomotiva adaugata la orar",2025-06-04 20:46:42
"locomotiva adaugata la orar",2025-06-04 20:46:42
"locomotiva adaugata la orar",2025-06-04 20:46:42
"locomotiva adaugata la orar",2025-06-04 20:46:42
"locomotiva adaugata la orar",2025-06-04 20:46:42
"locomotiva adaugata la orar",2025-06-04 20:46:42
"format tren",2025-06-04 20:46:42
"format tren",2025-06-04 20:46:42
"asignat tren la o ruta valida",2025-06-04 20:46:42
"locomotiva adaugata la orar",2025-06-04 20:46:42
"locomotiva adaugata la orar",2025-06-04 20:46:42
"locomotiva adaugata la orar",2025-06-04 20:46:42
"ruta cautata in baza de date",2025-06-04 20:46:42
"calculat pret bilet",2025-06-04 20:46:42
"calculat nivel de experienta mecanic",2025-06-04 21:54:39
"calculat nivel de experienta mecanic",2025-06-04 21:54:39
"calculat nivel de experienta mecanic",2025-06-04 21:54:39
"calculat nivel de experienta mecanic",2025-06-04 21:54:39
"locomotiva adaugata la orar",2025-06-04 21:54:39
"locomotiva adaugata la orar",2025-06-04 21:54:39
"locomotiva adaugata la orar",2025-06-04 21:54:39
"locomotiva adaugata la orar",2025-06-04 21:54:39
"locomotiva adaugata la orar",2025-06-04 21:54:39
"locomotiva adaugata la orar",2025-06-04 21:54:39
"locomotiva adaugata la orar",2025-06-04 21:54:39
"locomotiva adaugata la orar",2025-06-04 21:54:39
"format tren",2025-06-04 21:54:39
"format tren",2025-06-04 21:54:39
"asignat tren la o ruta valida",2025-06-04 21:54:39
"locomotiva adaugata la orar",2025-06-04 21:54:39
"locomotiva adaugata la orar",2025-06-04 21:54:39
"locomotiva adaugata la orar",2025-06-04 21:54:39
"ruta cautata in baza de date",2025-06-04 21:54:39
"calculat pret bilet",2025-06-04 21:54:39
"calculat nivel de experienta mecanic",2025-06-05 12:39:41
"calculat nivel de experienta mecanic",2025-06-05 12:39:41
"calculat nivel de experienta mecanic",2025-06-05 12:39:41
